model,condition,accuracy,mean_confidence,brier_score,log_score,overconfidence,n_valid,trial
mistralai/Mistral-7B-Instruct-v0.2,C0,0.3,1.0,0.7,4.83572884538757,0.7,10,101
mistralai/Mistral-7B-Instruct-v0.2,C0,0.6,1.0,0.4,2.7637024117930045,0.4,10,102
mistralai/Mistral-7B-Instruct-v0.2,C0,0.7,1.0,0.3,2.073026933928149,0.30000000000000004,10,103
mistralai/Mistral-7B-Instruct-v0.2,C0,0.7,1.0,0.3,2.073026933928149,0.30000000000000004,10,104
mistralai/Mistral-7B-Instruct-v0.2,C0,0.4,1.0,0.6,4.145053367522715,0.6,10,105
mistralai/Mistral-7B-Instruct-v0.2,C0,0.4,1.0,0.6,4.145053367522715,0.6,10,106
mistralai/Mistral-7B-Instruct-v0.2,C0,0.5,1.0,0.5,3.4543778896578594,0.5,10,107
mistralai/Mistral-7B-Instruct-v0.2,C0,0.5,1.0,0.5,3.4543778896578594,0.5,10,108
mistralai/Mistral-7B-Instruct-v0.2,C0,0.3,1.0,0.7,4.83572884538757,0.7,10,109
mistralai/Mistral-7B-Instruct-v0.2,C0,0.5,1.0,0.5,3.4543778896578594,0.5,10,110
mistralai/Mistral-7B-Instruct-v0.2,C0,0.4,1.0,0.6,4.145053367522715,0.6,10,111
mistralai/Mistral-7B-Instruct-v0.2,C0,0.2,1.0,0.8,5.526404323252425,0.8,10,112
mistralai/Mistral-7B-Instruct-v0.2,C0,0.8,1.0,0.2,1.3823514560632941,0.19999999999999996,10,113
mistralai/Mistral-7B-Instruct-v0.2,C0,0.6,1.0,0.4,2.7637024117930045,0.4,10,114
mistralai/Mistral-7B-Instruct-v0.2,C0,0.6,1.0,0.4,2.7637024117930045,0.4,10,115
mistralai/Mistral-7B-Instruct-v0.2,C0,0.6,1.0,0.4,2.7637024117930045,0.4,10,116
mistralai/Mistral-7B-Instruct-v0.2,C0,0.7,1.0,0.3,2.073026933928149,0.30000000000000004,10,117
mistralai/Mistral-7B-Instruct-v0.2,C0,0.8,1.0,0.2,1.3823514560632941,0.19999999999999996,10,118
mistralai/Mistral-7B-Instruct-v0.2,C0,0.4,1.0,0.6,4.145053367522715,0.6,10,119
mistralai/Mistral-7B-Instruct-v0.2,C0,0.4,1.0,0.6,4.145053367522715,0.6,10,120
mistralai/Mistral-7B-Instruct-v0.2,C0,0.7,1.0,0.3,2.073026933928149,0.30000000000000004,10,121
mistralai/Mistral-7B-Instruct-v0.2,C0,0.7,1.0,0.3,2.073026933928149,0.30000000000000004,10,122
mistralai/Mistral-7B-Instruct-v0.2,C0,0.5,1.0,0.5,3.4543778896578594,0.5,10,123
mistralai/Mistral-7B-Instruct-v0.2,C0,0.5,1.0,0.5,3.4543778896578594,0.5,10,124
mistralai/Mistral-7B-Instruct-v0.2,C0,0.2,1.0,0.8,5.526404323252425,0.8,10,125
mistralai/Mistral-7B-Instruct-v0.2,C0,0.4,1.0,0.6,4.145053367522715,0.6,10,126
mistralai/Mistral-7B-Instruct-v0.2,C0,0.8,1.0,0.2,1.3823514560632941,0.19999999999999996,10,127
mistralai/Mistral-7B-Instruct-v0.2,C0,0.5,1.0,0.5,3.4543778896578594,0.5,10,128
mistralai/Mistral-7B-Instruct-v0.2,C0,0.5,1.0,0.5,3.4543778896578594,0.5,10,129
mistralai/Mistral-7B-Instruct-v0.2,C0,0.3,1.0,0.7,4.83572884538757,0.7,10,130
mistralai/Mistral-7B-Instruct-v0.2,C0,0.8,1.0,0.2,1.3823514560632941,0.19999999999999996,10,131
mistralai/Mistral-7B-Instruct-v0.2,C0,0.3,1.0,0.7,4.83572884538757,0.7,10,132
mistralai/Mistral-7B-Instruct-v0.2,C0,0.3,1.0,0.7,4.83572884538757,0.7,10,133
mistralai/Mistral-7B-Instruct-v0.2,C0,0.7,1.0,0.3,2.073026933928149,0.30000000000000004,10,134
mistralai/Mistral-7B-Instruct-v0.2,C0,0.5,0.9,0.4,2.7637024117930045,0.4,10,135
mistralai/Mistral-7B-Instruct-v0.2,C0,0.6,1.0,0.4,2.7637024117930045,0.4,10,136
mistralai/Mistral-7B-Instruct-v0.2,C0,0.6,1.0,0.4,2.7637024117930045,0.4,10,137
mistralai/Mistral-7B-Instruct-v0.2,C0,0.4,1.0,0.6,4.145053367522715,0.6,10,138
mistralai/Mistral-7B-Instruct-v0.2,C0,0.4,1.0,0.6,4.145053367522715,0.6,10,139
mistralai/Mistral-7B-Instruct-v0.2,C0,0.4,1.0,0.6,4.145053367522715,0.6,10,140
mistralai/Mistral-7B-Instruct-v0.2,C0,0.7,1.0,0.3,2.073026933928149,0.30000000000000004,10,141
mistralai/Mistral-7B-Instruct-v0.2,C0,0.6,1.0,0.4,2.7637024117930045,0.4,10,142
mistralai/Mistral-7B-Instruct-v0.2,C0,0.2,1.0,0.8,5.526404323252425,0.8,10,143
mistralai/Mistral-7B-Instruct-v0.2,C0,0.4,1.0,0.6,4.145053367522715,0.6,10,144
mistralai/Mistral-7B-Instruct-v0.2,C0,0.5,1.0,0.5,3.4543778896578594,0.5,10,145
mistralai/Mistral-7B-Instruct-v0.2,C0,0.7,1.0,0.3,2.073026933928149,0.30000000000000004,10,146
mistralai/Mistral-7B-Instruct-v0.2,C0,0.3,1.0,0.7,4.83572884538757,0.7,10,147
mistralai/Mistral-7B-Instruct-v0.2,C0,0.6,1.0,0.4,2.7637024117930045,0.4,10,148
mistralai/Mistral-7B-Instruct-v0.2,C0,0.4,1.0,0.6,4.145053367522715,0.6,10,149
mistralai/Mistral-7B-Instruct-v0.2,C0,0.2,1.0,0.8,5.526404323252425,0.8,10,150
mistralai/Mistral-7B-Instruct-v0.2,C0,0.6,1.0,0.4,2.7637024117930045,0.4,10,151
mistralai/Mistral-7B-Instruct-v0.2,C0,0.4,1.0,0.6,4.145053367522715,0.6,10,152
mistralai/Mistral-7B-Instruct-v0.2,C0,0.4,1.0,0.6,4.145053367522715,0.6,10,153
mistralai/Mistral-7B-Instruct-v0.2,C0,0.7,0.9,0.2,1.3823514560632941,0.20000000000000007,10,154
mistralai/Mistral-7B-Instruct-v0.2,C0,0.2,1.0,0.8,5.526404323252425,0.8,10,155
mistralai/Mistral-7B-Instruct-v0.2,C0,0.8,1.0,0.2,1.3823514560632941,0.19999999999999996,10,156
mistralai/Mistral-7B-Instruct-v0.2,C0,0.6,1.0,0.4,2.7637024117930045,0.4,10,157
mistralai/Mistral-7B-Instruct-v0.2,C0,0.7,1.0,0.3,2.073026933928149,0.30000000000000004,10,158
mistralai/Mistral-7B-Instruct-v0.2,C0,0.5,1.0,0.5,3.4543778896578594,0.5,10,159
mistralai/Mistral-7B-Instruct-v0.2,C0,0.4,1.0,0.6,4.145053367522715,0.6,10,160
mistralai/Mistral-7B-Instruct-v0.2,C0,0.7,1.0,0.3,2.073026933928149,0.30000000000000004,10,161
mistralai/Mistral-7B-Instruct-v0.2,C0,0.7,1.0,0.3,2.073026933928149,0.30000000000000004,10,162
mistralai/Mistral-7B-Instruct-v0.2,C0,0.5,1.0,0.5,3.4543778896578594,0.5,10,163
mistralai/Mistral-7B-Instruct-v0.2,C0,0.3,1.0,0.7,4.83572884538757,0.7,10,164
mistralai/Mistral-7B-Instruct-v0.2,C0,0.4,1.0,0.6,4.145053367522715,0.6,10,165
mistralai/Mistral-7B-Instruct-v0.2,C0,0.4,1.0,0.6,4.145053367522715,0.6,10,166
mistralai/Mistral-7B-Instruct-v0.2,C0,0.4,1.0,0.6,4.145053367522715,0.6,10,167
mistralai/Mistral-7B-Instruct-v0.2,C0,0.4,1.0,0.6,4.145053367522715,0.6,10,168
mistralai/Mistral-7B-Instruct-v0.2,C0,0.4,1.0,0.6,4.145053367522715,0.6,10,169
mistralai/Mistral-7B-Instruct-v0.2,C0,0.3,1.0,0.7,4.83572884538757,0.7,10,170
mistralai/Mistral-7B-Instruct-v0.2,C0,0.5,1.0,0.5,3.4543778896578594,0.5,10,171
mistralai/Mistral-7B-Instruct-v0.2,C0,0.4,1.0,0.6,4.145053367522715,0.6,10,172
